description,category
uber accra payment,transport
paid for doctor consultation,healthcare
monthly palace shopping,shopping
knust tuition - 35 GHS,education
shell petrol,transport
netflix,entertainment
monthly palace shopping,shopping
clothing payment,shopping
monthly dstv subscription,entertainment
kenkey - 197 GHS,food
monthly ecg bill,bills
monthly makola market,shopping
hotel booking - 28 GHS,travel
paid for netflix,entertainment
monthly movie night,entertainment
game stores payment,shopping
concert ticket - 136 GHS,entertainment
stationery - 77 GHS,education
kotoka airport payment,travel
paid for spotify premium,entertainment
ridge hospital payment,healthcare
monthly textbook purchase,education
textbook purchase payment,education
kenkey - 344 GHS,food
paid for concert ticket,entertainment
spotify premium payment,entertainment
monthly kfc accra,food
paid for shs bus,transport
paid for pharmacy,healthcare
monthly ucc payment,education
local restaurant,food
vodafone airtime,bills
dstv subscription - 354 GHS,entertainment
library fine,education
makola market - 409 GHS,shopping
paid for vodafone airtime,bills
monthly vip transport,transport
west hills mall,shopping
mtn mobile money,bills
vodafone airtime - 329 GHS,bills
rent payment,bills
paid for rent payment,bills
waakye,food
vip transport payment,transport
vacation expenses payment,travel
game stores payment,shopping
paid for hotel booking,travel
paid for trotro fare,transport
monthly movie night,entertainment
paid for gotv payment,entertainment
monthly dstv subscription,entertainment
knust tuition payment,education
nhis payment - 151 GHS,healthcare
monthly palace shopping,shopping
local restaurant - 361 GHS,food
concert ticket - 247 GHS,entertainment
knust tuition - 28 GHS,education
bolt ride,transport
gotv payment - 94 GHS,entertainment
ridge hospital,healthcare
dstv subscription - 151 GHS,entertainment
pharmacy payment,healthcare
paid for silverbird cinema,entertainment
transport fare payment,travel
tamale travel payment,travel
monthly rent payment,bills
paid for shs bus,transport
melcom,shopping
monthly clothing,shopping
gwcl water payment,bills
monthly kotoka airport,travel
paid for concert ticket,entertainment
mtn mobile money,bills
gotv payment - 67 GHS,entertainment
library fine - 298 GHS,education
monthly uber accra,transport
shoprite - 194 GHS,shopping
kenkey payment,food
hotel booking - 259 GHS,travel
accra mall - 92 GHS,shopping
library fine payment,education
dstv subscription payment,entertainment
jollof payment,food
goil fuel payment,transport
paid for concert ticket,entertainment
ridge hospital,healthcare
paid for transport fare,travel
monthly hotel booking,travel
paid for gotv payment,entertainment
shoprite food,food
taxi fare,transport
shoprite,shopping
monthly airteltigo data,bills
vip transport,transport
monthly gotv payment,entertainment
nhis payment payment,healthcare
local restaurant,food
paid for pharmacy,healthcare
monthly chop bar,food
gwcl water payment,bills
paid for chop bar,food
vacation expenses payment,travel
monthly shoprite food,food
monthly shs bus,transport
monthly silverbird cinema,entertainment
insurance premium - 117 GHS,bills
monthly local restaurant,food
bolt ride - 194 GHS,transport
monthly ucc payment,education
monthly doctor consultation,healthcare
hotel booking payment,travel
legon fees,education
monthly concert ticket,entertainment
goil fuel,transport
monthly total fuel,transport
rent payment - 119 GHS,bills
paid for total fuel,transport
melcom payment,shopping
kotoka airport,travel
paid for movie night,entertainment
shell petrol,transport
paid for makola market,shopping
paid for cape coast trip,travel
clothing payment,shopping
paid for uber accra,transport
vodafone airtime - 343 GHS,bills
gwcl water,bills
monthly gwcl water,bills
paid for dstv subscription,entertainment
monthly kotoka airport,travel
kotoka airport - 468 GHS,travel
total fuel payment,transport
melcom snacks - 461 GHS,food
doctor consultation - 348 GHS,healthcare
insurance premium payment,bills
rent payment,bills
monthly textbook purchase,education
school fees,education
library fine - 282 GHS,education
kaneshie market payment,shopping
west hills mall payment,shopping
monthly vip transport,transport
paid for ecg bill,bills
flight to kumasi,travel
ucc payment,education
pharmacy - 223 GHS,healthcare
mtn mobile money - 467 GHS,bills
taxi fare - 480 GHS,transport
monthly nhis payment,healthcare
monthly nhis payment,healthcare
banku payment,food
nhis payment payment,healthcare
kenkey payment,food
paid for flight to kumasi,travel
monthly netflix,entertainment
medical checkup payment,healthcare
total fuel - 18 GHS,transport
monthly west hills mall,shopping
medical checkup,healthcare
stationery - 279 GHS,education
kotoka airport - 338 GHS,travel
monthly rent payment,bills
melcom,shopping
clothing,shopping
shell petrol - 427 GHS,transport
ucc payment - 476 GHS,education
chop bar payment,food
spotify premium,entertainment
paid for accra mall,shopping
uber accra,transport
gotv payment payment,entertainment
textbook purchase payment,education
paid for makola market,shopping
paid for shoprite food,food
korle bu hospital payment,healthcare
west hills mall - 173 GHS,shopping
netflix,entertainment
library fine,education
dstv subscription payment,entertainment
paid for shoprite food,food
paid for doctor consultation,healthcare
airteltigo data,bills
paid for shoprite food,food
ecg bill - 326 GHS,bills
kfc accra - 60 GHS,food
paid for metro mass,transport
clothing payment,shopping
shoprite food payment,food
makola market payment,shopping
paid for chop bar,food
shell petrol payment,transport
airteltigo data - 273 GHS,bills
pharmacy - 227 GHS,healthcare
tamale travel payment,travel
taxi fare payment,transport
paid for cape coast trip,travel
monthly mtn mobile money,bills
gotv payment payment,entertainment
monthly medical checkup,healthcare
paid for transport fare,travel
paid for library fine,education
tamale travel,travel
game stores - 60 GHS,shopping
makola market payment,shopping
monthly school fees,education
vip transport - 259 GHS,transport
monthly spotify premium,entertainment
monthly shs bus,transport
metro mass payment,transport
monthly vacation expenses,travel
monthly movie night,entertainment
monthly rent payment,bills
monthly game stores,shopping
paid for metro mass,transport
medical checkup payment,healthcare
kaneshie market payment,shopping
paid for rent payment,bills
gwcl water,bills
monthly vodafone airtime,bills
kotoka airport,travel
paid for tamale travel,travel
legon fees,education
paid for ridge hospital,healthcare
paid for shell petrol,transport
trotro fare payment,transport
ucc payment,education
rent payment,bills
jollof,food
monthly textbook purchase,education
ridge hospital - 303 GHS,healthcare
paid for melcom snacks,food
airteltigo data - 24 GHS,bills
kfc accra - 111 GHS,food
monthly airteltigo data,bills
total fuel payment,transport
paid for jollof,food
melcom snacks,food
medical checkup - 144 GHS,healthcare
monthly goil fuel,transport
nhis payment payment,healthcare
clothing,shopping
paid for tamale travel,travel
textbook purchase payment,education
library fine - 159 GHS,education
legon fees,education
west hills mall payment,shopping
monthly shoprite,shopping
monthly shell petrol,transport
monthly netflix,entertainment
movie night - 168 GHS,entertainment
clothing,shopping
spotify premium,entertainment
monthly flight to kumasi,travel
monthly shell petrol,transport
monthly papaye,food
paid for silverbird cinema,entertainment
uber accra payment,transport
stationery - 191 GHS,education
monthly clinic visit,healthcare
paid for cape coast trip,travel
transport fare - 364 GHS,travel
hotel booking payment,travel
shs bus payment,transport
papaye payment,food
netflix,entertainment
monthly kotoka airport,travel
paid for chop bar,food
taxi fare payment,transport
movie night,entertainment
paid for cape coast trip,travel
paid for bolt ride,transport
